latitude,longitude,time,co,t
62.25,225.0,2018-05-01,1.1971497e-07,281.1659
62.25,225.75,2018-05-01,1.2078954e-07,279.15027
62.25,226.5,2018-05-01,1.221074e-07,277.63074
62.25,227.25,2018-05-01,1.2250075e-07,277.41785
62.25,228.0,2018-05-01,1.230137e-07,277.78503
62.25,228.75,2018-05-01,1.2297141e-07,277.45886
62.25,229.5,2018-05-01,1.2361124e-07,276.06238
62.25,230.25,2018-05-01,1.2507508e-07,274.2987
62.25,231.0,2018-05-01,1.2690543e-07,272.96277
62.25,231.75,2018-05-01,1.2874034e-07,272.2284
62.25,232.5,2018-05-01,1.2968894e-07,271.93152
62.25,233.25,2018-05-01,1.3051977e-07,272.21277
62.25,234.0,2018-05-01,1.3126828e-07,273.5448
62.25,234.75,2018-05-01,1.3166073e-07,276.1659
62.25,235.5,2018-05-01,1.3135877e-07,279.578
62.25,236.25,2018-05-01,1.3144108e-07,282.67957
62.25,237.0,2018-05-01,1.3086083e-07,284.43738
62.25,237.75,2018-05-01,1.3022327e-07,284.5116
62.25,238.5,2018-05-01,1.2925557e-07,283.3651
62.25,239.25,2018-05-01,1.2841383e-07,281.8534
62.25,240.0,2018-05-01,1.267631e-07,280.6366
62.25,240.75,2018-05-01,1.2545661e-07,279.89636
62.25,241.5,2018-05-01,1.2491682e-07,279.44128
62.25,242.25,2018-05-01,1.2435703e-07,278.96277
62.25,243.0,2018-05-01,1.2358532e-07,278.2245
62.25,243.75,2018-05-01,1.2264036e-07,277.16394
62.25,244.5,2018-05-01,1.2145483e-07,275.90613
62.25,245.25,2018-05-01,1.213757e-07,274.68542
62.25,246.0,2018-05-01,1.2142164e-07,273.72253
62.25,246.75,2018-05-01,1.2119881e-07,273.12683
62.25,247.5,2018-05-01,1.2103328e-07,272.87878
62.25,248.25,2018-05-01,1.210351e-07,272.8573
62.25,249.0,2018-05-01,1.2102419e-07,272.81628
62.25,249.75,2018-05-01,1.21006e-07,272.42566
62.25,250.5,2018-05-01,1.2099599e-07,271.43933
62.25,251.25,2018-05-01,1.2097371e-07,269.9276
62.25,252.0,2018-05-01,1.2094415e-07,268.28308
62.25,252.75,2018-05-01,1.2085275e-07,266.91003
62.25,253.5,2018-05-01,1.2082546e-07,265.90027
62.25,254.25,2018-05-01,1.2079317e-07,265.0409
62.25,255.0,2018-05-01,1.2081091e-07,264.1405
62.25,255.75,2018-05-01,1.2083183e-07,263.26746
62.25,256.5,2018-05-01,1.2086548e-07,262.6151
62.25,257.25,2018-05-01,1.2090322e-07,262.23816
62.25,258.0,2018-05-01,1.2093369e-07,261.97058
62.25,258.75,2018-05-01,1.2088685e-07,261.62292
62.25,259.5,2018-05-01,1.2082546e-07,261.18542
62.25,260.25,2018-05-01,1.2072678e-07,260.80457
62.25,261.0,2018-05-01,1.2058536e-07,260.59558
62.25,261.75,2018-05-01,1.2040391e-07,260.52527
62.25,262.5,2018-05-01,1.202734e-07,260.47253
62.25,263.25,2018-05-01,1.2012879e-07,260.3534
62.25,264.0,2018-05-01,1.199569e-07,260.20496
62.25,264.75,2018-05-01,1.1975317e-07,260.13464
62.25,265.5,2018-05-01,1.1950533e-07,260.20886
62.25,266.25,2018-05-01,1.1935026e-07,260.37488
62.25,267.0,2018-05-01,1.1917246e-07,260.52136
62.25,267.75,2018-05-01,1.190515e-07,260.57214
62.25,268.5,2018-05-01,1.1890962e-07,260.5448
62.25,269.25,2018-05-01,1.1880821e-07,260.47644
62.25,270.0,2018-05-01,1.18707256e-07,260.36707
62.25,270.75,2018-05-01,1.1862995e-07,260.20496
62.25,271.5,2018-05-01,1.1855901e-07,260.01746
62.25,272.25,2018-05-01,1.1849307e-07,259.85925
62.25,273.0,2018-05-01,1.184385e-07,259.74597
62.25,273.75,2018-05-01,1.18365286e-07,259.62097
62.25,274.5,2018-05-01,1.1831481e-07,259.45886
62.25,275.25,2018-05-01,1.18257056e-07,259.32996
62.25,276.0,2018-05-01,1.18192936e-07,259.3241
62.25,276.75,2018-05-01,1.1807061e-07,259.4159
62.25,277.5,2018-05-01,1.179401e-07,259.4784
62.25,278.25,2018-05-01,1.1773e-07,259.45496
62.25,279.0,2018-05-01,1.1750945e-07,259.45496
62.25,279.75,2018-05-01,1.17189764e-07,259.57996
62.25,280.5,2018-05-01,1.1695375e-07,259.71082
62.25,281.25,2018-05-01,1.1665362e-07,259.60535
62.25,282.0,2018-05-01,1.16323015e-07,259.23816
62.25,282.75,2018-05-01,1.15962855e-07,258.90417
62.25,283.5,2018-05-01,1.1568546e-07,258.89246
62.25,284.25,2018-05-01,1.15377595e-07,259.11316
62.25,285.0,2018-05-01,1.15278915e-07,259.24792
62.25,285.75,2018-05-01,1.1512703e-07,259.24402
